Search Company,Closest Company 1,Closest Company 2,Closest Company 3,Closest Company 4,Closest Company 5
icbc,Industrial Bank,Shanghai Pudong Development,Santander,Banco do Brasil,BNP Paribas
jpmorgan chase,Bank of America,BNP Paribas,RBC,Santander,Citigroup
china construction bank,Bank of China,State Bank of India,ICICI Bank,Petronas Chemicals,Industrial Bank of Korea
agricultural bank of china,China Evergrande Group,Jardine Matheson,AIA Group,China Vanke,Uniper
bank of america,BNP Paribas,JPMorgan Chase,Santander,Citigroup,Goldman Sachs Group
apple,Amazon,McKesson,Nomura,Microsoft,Dell Technologies
ping an insurance group,China State Construction Engineering,Metallurgical Corp of China,CNOOC,Huaneng Power International,China Railway Construction
bank of china,China Construction Bank,State Bank of India,ICICI Bank,Woori Financial Group,United Overseas Bank
royal dutch shell,Volkswagen Group,BP,ExxonMobil,Total,Chevron
wells fargo,Morgan Stanley,Home Depot,Moody's,Iberdrola,Delta Air Lines
exxonmobil,BP,Royal Dutch Shell,Chevron,Volkswagen Group,Kroger
at&t,AT&T,CVS Health,Alphabet,Glencore International,Gazprom
samsung electronics,Hon Hai Precision,SK Holdings,SAIC Motor,Panasonic,LG Electronics
citigroup,Bank of America,Goldman Sachs Group,Santander,BNP Paribas,Bank of Nova Scotia
toyota motor,Sony,JXTG Holdings,Posco,Hon Hai Precision,SAIC Motor
microsoft,Dell Technologies,IBM,McKesson,Amazon,HP
alphabet,Alphabet,Gazprom,Glencore International,Boeing,Enel
volkswagen group,Royal Dutch Shell,Total,BP,Ford Motor,Chevron
chevron,Ford Motor,Total,Volkswagen Group,Johnson & Johnson,Royal Dutch Shell
verizon communications,Verizon Communications,Berkshire Hathaway,Walgreens Boots Alliance,CVS Health,Equinor
hsbc holdings,Expeditors International,HSBC Holdings,Postal Savings Bank Of China (PSBC),People's Insurance,Vodafone
petrochina,Japan Post Holdings,China Evergrande Group,Country Garden Holdings,Sumitomo Mitsui Financial,China Vanke
allianz,Allianz,Fannie Mae,AXA Group,Brookfield Asset Management,Deutsche Post
bp,ExxonMobil,Royal Dutch Shell,Volkswagen Group,Chevron,Ford Motor
total,Volkswagen Group,Chevron,Ford Motor,Royal Dutch Shell,Daimler
berkshire hathaway,Berkshire Hathaway,Verizon Communications,CVS Health,Walgreens Boots Alliance,AT&T
china mobile,China Railway Construction,China Telecom,China State Construction Engineering,Metallurgical Corp of China,China Longyuan Power
amazon,McKesson,Apple,Dell Technologies,AmerisourceBergen,Microsoft
walmart,Costco Wholesale,Home Depot,Wells Fargo,Generali Group,Petrobras
santander,BNP Paribas,Bank of America,Goldman Sachs Group,Citigroup,Lloyds Banking Group
china merchants bank,China Minsheng Banking,Cathay Financial,CITIC,Raymond James Financial,Bank of Communications
unitedhealth group,UnitedHealth Group,Centene,Xerox,Fannie Mae,HCA Healthcare
comcast,Dell Technologies,Epiroc,General Electric,IBM,FedEx
bnp paribas,Bank of America,Santander,JPMorgan Chase,Goldman Sachs Group,Citigroup
sinopec,Samsung Electronics,Panasonic,Canon,Toyota Tsusho,Hon Hai Precision
softbank,Nippon Telegraph & Tel,Korea Electric Power,PTT PCL,Aeon,Fanuc
