,Company,Industry,Country,Market Value,Profits,Assets,Sales,Rank,Profits as % of Assets,Profits as % of Sales,description
0,General Electric,Conglomerates,United States,89.87,17.41,797.77,182.52,1,0.0218233325394537,0.0953868069252685,"The General Electric Company, or GEC, was a major UK-based industrial conglomerate involved in consumer and defence electronics, communications, and engineering. The company was founded in 1886, was Britain's largest private employer with over 250,000 employees in the 1980s, and at its peak in the 1990s, made profits of over £1 billion a year.In June 1998, GEC sold its share of the joint venture GEC-Alsthom on the Paris stock exchange. In December 1999, GEC's defence arm, Marconi Electronic Systems, was sold to British Aerospace, forming BAE Systems.
The rest of GEC, mainly telecommunications equipment manufacturing, continued as Marconi Communications. After buying several US telecoms manufacturers at the top of the market, losses following the bursting of the dot-com bubble in 2001 led to the restructuring in 2003 of Marconi plc into Marconi Corporation plc. In 2005, Ericsson acquired the bulk of that company. What was left of the business was renamed Telent."
1,Royal Dutch Shell,Oil & Gas Operations,Netherlands,135.1,26.28,278.44,458.36,2,0.0943829909495762,0.057334845972598,"Royal Dutch Shell, commonly known as Shell, is a British-Dutch multinational oil and gas company headquartered in The Hague, Netherlands and incorporated in the United Kingdom as a public limited company (PLC). It is one of the oil and gas ""supermajors"" and the fifth-largest company in the world measured by 2020 revenues (and the largest based in Europe). In the 2020 Forbes Global 2000, Royal Dutch Shell was ranked as the 21st-largest public company in the world. Shell was first in the 2013 Fortune Global 500 list of the world's largest companies; in that year its revenues were equivalent to 84% of the Dutch national $556 billion GDP.Shell is vertically integrated and is active in every area of the oil and gas industry, including exploration and production, refining, transport, distribution and marketing, petrochemicals, power generation, and trading. It also has renewable energy activities, including biofuels, wind, energy-kite systems, and hydrogen. Shell has operations in over 70 countries, produces around 3.7 million barrels of oil equivalent per day and has 44,000 service stations worldwide. As of 31 December 2014, Shell had total proved reserves of 13.7 billion barrels (2.18×109 m3) of oil equivalent. Shell Oil Company, its principal subsidiary in the United States, is one of its largest businesses. Shell holds 50% of Raízen, a joint venture with Cosan, which is the third-largest Brazil-based energy company by revenues and a major producer of ethanol.Shell was formed in 1907 through the amalgamation of the Royal Dutch Petroleum Company (Dutch: N.V. Koninklijke Nederlandse Petroleum Maatschappij) of the Netherlands (formerly the Royal Dutch Company for the Exploitation of Petroleum Wells in the Dutch East Indies (Dutch: N.V. Koninklijke Maatschappij tot Exploitatie van Petroleumbronnen in Nederlandsch-Indië)) and the ""Shell"" Transport and Trading Company of the United Kingdom. Until its unification in 2005 the firm operated as a dual-listed company, whereby the British and Dutch companies maintained their legal existence but operated as a single-unit partnership for business purposes. Shell first entered the chemicals industry in 1929. Shell was one of the ""Seven Sisters"" which dominated the global petroleum industry from the mid-1940s to the mid-1970s. In 1970 Shell acquired the mining company Billiton, which it subsequently sold in 1994 and now forms part of BHP. In recent decades gas exploration and production has become an increasingly important part of Shell's business. Shell acquired BG Group in 2016, making it the world's largest producer of liquefied natural gas (LNG).Shell has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It had a market capitalisation of £216 billion at the close of trading on 27 June 2019, by far the largest of any company listed on the London Stock Exchange. It has secondary listings on Euronext Amsterdam and the New York Stock Exchange. There are two types of shares: A (code RDSA) and B (code RDSB), see also below.
As of February 2020, Shell's largest shareholder (A and B shares combined as a percent of the company) was Nederlands Centraal Instituut Voor Giraal Effectenverkeer Bv with 21.19%, ahead of Guaranty Nominees Limited in second with 18.03%, BlackRock Inc with 7.14%, and The Capital Group with 4.99%. According to the CDP Carbon Majors Report 2017, when taking into account its scope 3 greenhouse gas emissions, meaning emissions caused by the public and other companies using its products to power the modern economy, Shell was the ninth-largest corporate producer of greenhouse gas emissions in the period 1988–2015. In 2018, Shell announced it hoped to achieve net zero greenhouse gas emissions by 2050 or sooner.

"
2,Toyota Motor,Consumer Durables,Japan,102.35,17.21,324.98,263.42,3,0.0529571050526186,0.0653329284033103,"Toyota Motor Corporation (Japanese: トヨタ自動車株式会社, Hepburn: Toyota Jidōsha KK, IPA: [toꜜjota], English: , commonly known as Toyota) is a Japanese multinational automotive manufacturer headquartered in Toyota, Aichi, Japan.  It was founded by Kiichiro Toyoda and incorporated on August 28, 1937 (1937-08-28). In 2017, Toyota's corporate structure consisted of 364,445 employees worldwide and, as of December 2019, was the tenth-largest company in the world by revenue. Toyota is the largest automobile manufacturer in the world followed by Volkswagen, based on 2020 unit sales. Toyota was the world's first automobile manufacturer to produce more than 10 million vehicles per year, which it has done since 2012, when it also reported the production of its 200 millionth vehicle. As of July 2014, Toyota was the largest listed company in Japan by market capitalization (worth more than twice as much as number 2-ranked SoftBank) and by revenue.Toyota is the global market leader in sales of hybrid electric vehicles, and one of the largest companies to encourage the mass-market adoption of hybrid vehicles across the globe. Toyota is also a market leader in hydrogen fuel-cell vehicles. Cumulative global sales of Toyota and Lexus hybrid passenger car models achieved the 15 million milestone in January 2020. Its Prius family is the world's top-selling hybrid nameplate with over 6 million units sold worldwide as of January 2017.The company was founded by Kiichiro Toyoda in 1937, as a spinoff from his father's company Toyota Industries, to manufacture automobiles. Three years earlier, in 1934, while still a department of Toyota Industries, it developed its first product, the Type A engine, and its first passenger car in 1936, the Toyota AA. Toyota Motor Corporation produces vehicles under five brands, including the Toyota brand, Hino, Lexus, Ranz, and Daihatsu. It also holds a 20.02% stake in Subaru Corporation, a 5.9% stake in Isuzu until 2018, a 5.1% stake in Mazda, a 4.9% stake in Suzuki, a 3.8% stake in Yamaha Motor Corporation, and a 2.8% stake in Panasonic, as well as joint-ventures with two in China (GAC Toyota and Sichuan FAW Toyota Motor), one in India (Toyota Kirloskar), one in the Czech Republic (TPCA), one in the United States (MTMUS), along with several ""nonautomotive"" companies. TMC is part of the Toyota Group, one of the largest conglomerates in the world.Toyota is listed on the London Stock Exchange, New York Stock Exchange and Tokyo Stock Exchange."
3,ExxonMobil,Oil & Gas Operations,United States,335.54,45.22,228.05,425.7,4,0.19828984871738697,0.10622504110876199,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.One of the world's largest companies by revenue, ExxonMobil from 1996 to 2017 varied from the first to sixth largest publicly traded company by market capitalization. The company was ranked third globally in the Forbes Global 2000 list in 2016. ExxonMobil was the tenth most profitable company in the Fortune 500 in 2017. As of 2018, the company ranked second in the Fortune 500 rankings of the largest United States corporations by total revenue. Approximately 55.56% of the company's shares are held by institutions. As of March 2019, ExxonMobil's largest shareholders include The Vanguard Group (8.15%), BlackRock (6.61%), and State Street Corporation (4.83%).
ExxonMobil is one of the largest of the world's Big Oil companies. As of 2007, it had daily production of 3.921 million BOE (barrels of oil equivalent); but significantly smaller than a number of national companies. In 2008, this was approximately 3% of world production, which is less than several of the largest state-owned petroleum companies. When ranked by oil and gas reserves, it is 14th in the world—with less than 1% of the total. ExxonMobil's reserves were 20 billion BOE at the end of 2016 and the 2007 rates of production were expected to last more than 14 years. With 37 oil refineries in 21 countries constituting a combined daily refining capacity of 6.3 million barrels (1,000,000 m3), ExxonMobil is the seventh largest refiner in the world, a title that was also associated with Standard Oil since its incorporation in 1870.ExxonMobil had been criticized for its slow response to cleanup efforts after the 1989 Exxon Valdez oil spill in Alaska, considered to be one of the world's worst oil spills in terms of damage to the environment. ExxonMobil has a history of lobbying for climate change denial and against the scientific consensus that global warming is caused by the burning of fossil fuels. However, the company says that it has taken steps to minimise the environmental impact of its operations. The company has also been the target of accusations of improperly dealing with human rights issues, influence on American foreign policy, and its impact on the future of nations.

"
4,BP,Oil & Gas Operations,United Kingdom,119.7,21.16,228.24,361.14,5,0.0927094286715738,0.0585922356980672,"BP plc (formerly The British Petroleum Company plc and BP Amoco plc) is a British multinational oil and gas company headquartered in London, England. It is one of the world's seven oil and gas ""supermajors"". It is a vertically integrated company operating in all areas of the oil and gas industry, including exploration and production, refining, distribution and marketing, power generation and trading. It also has renewable energy interests in biofuels, wind power, smart grid and solar technology.
As of 31 December 2018, BP had operations in nearly 80 countries worldwide, produced around 3.7 million barrels per day (590,000 m3/d) of oil equivalent, and had total proven reserves of 19.945 billion barrels (3.1710×109 m3) of oil equivalent. The company has around 18,700 service stations worldwide. Its largest division is BP America in the United States. In Russia, BP owns a 19.75% stake in Rosneft, the world's largest publicly traded oil and gas company by hydrocarbon reserves and production. BP has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It has secondary listings on the Frankfurt Stock Exchange and the New York Stock Exchange. In the 2020 Forbes Global 2000, BP was ranked as the 357th-largest public company in the world.BP's origins date back to the founding of the Anglo-Persian Oil Company in 1908, established as a subsidiary of Burmah Oil Company to exploit oil discoveries in Iran. In 1935, it became the Anglo-Iranian Oil Company and in 1954, adopted the name British Petroleum. In 1959, the company expanded beyond the Middle East to Alaska and it was one of the first companies to strike oil in the North Sea. British Petroleum acquired majority control of Standard Oil of Ohio in 1978. Formerly majority state-owned, the British government privatised the company in stages between 1979 and 1987. British Petroleum merged with Amoco in 1998, becoming BP Amoco plc, and acquired ARCO and Burmah Castrol in 2000, becoming BP plc in 2001. From 2003 to 2013, BP was a partner in the TNK-BP joint venture in Russia.
BP has been directly involved in several major environmental and safety incidents. Among them were the 2005 Texas City Refinery explosion, which caused the death of 15 workers and which resulted in a record-setting OSHA fine; Britain's largest oil spill, the wreck of Torrey Canyon in 1967; and the 2006 Prudhoe Bay oil spill, the largest oil spill on Alaska's North Slope, which resulted in a US$25 million civil penalty, the largest per-barrel penalty at that time for an oil spill.The 2010, Deepwater Horizon oil spill, the largest accidental release of oil into marine waters in history, which leaked about 4.9 million barrels (210 million US gal; 780,000 m3) of oil, causing severe environmental, human health, and economic consequences, and serious legal and public relations repercussions for BP. 1.8 million US gallons (43,000 bbl; 6,800 m3) of Corexit oil dispersant were used in the cleanup response, becoming the largest application of such chemicals in US history. The company pleaded guilty to 11 counts of felony manslaughter, two misdemeanors, one felony count of lying to the U.S. Congress, and agreed to pay more than $4.5 billion in fines and penalties, the largest criminal resolution in US history. On 2 July 2015, BP and five states announced an $18.7 billion settlement to be used for Clean Water Act penalties and various claims. In total, the oil spill cost to the company more than $65 billion of cleanup costs, charges and penalties.From 1988 to 2015, BP was responsible for 1.53% of global industrial greenhouse gas emissions. BP has set a goal to cut its greenhouse gas emissions to net-zero by 2050. BP plans to increase its investments in renewables 10 times and reduce oil production by 40% from current levels by 2030."
5,HSBC Holdings,Banking,United Kingdom,85.04,5.73,2520.45,142.05,6,0.00227340355888829,0.040337909186906,"HSBC Holdings plc is a British multinational investment bank and financial services holding company. It is the largest bank in Europe, with total assets of US$2.715 trillion (as of August 2020). HSBC traces its origin to a hong in British Hong Kong and its present form was established in London by the Hongkong and Shanghai Banking Corporation to act as a new group holding company in 1991; its name derives from that company's initials. The Hongkong and Shanghai Banking Corporation opened branches in Shanghai in 1865 and was first formally incorporated in 1866.HSBC has around 3,900 offices in 65 countries and territories across Africa, Asia, Oceania, Europe, North America, and South America, and around 38 million customers. As of 2014, it was the world's sixth-largest public company, according to a composite measure by Forbes magazine.HSBC is organised within four business groups: Commercial Banking, Global Banking and Markets (investment banking), Retail Banking and Wealth Management, and Global Private Banking. In 2020, the bank announced that it would consolidate its Retail Banking & Wealth Management arm with Global Private Banking, to form Wealth & Personal Banking.HSBC has a dual primary listing on the Hong Kong Stock Exchange and London Stock Exchange and is a constituent of the Hang Seng Index and the FTSE 100 Index. As of 30 October 2020, it had a market capitalisation of £66.1 billion, the third-largest company listed on the London Stock Exchange. It has secondary listings on the New York Stock Exchange, Euronext Paris, and the Bermuda Stock Exchange.
HSBC's history has been plagued by a succession of scandals and the bank has been repetitively fined for money laundering (sometimes in relation with organized crime or terrorist organizations like Al Qaeda) or setting up large scale tax avoidance schemes."
6,AT&T,Telecommunications Services,United States,140.08,12.87,265.25,124.03,7,0.0485202639019793,0.10376521809239699,"AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world's largest telecommunications company, the largest provider of mobile telephone services, and the largest provider of fixed telephone services in the United States through AT&T Communications.  Since June 14, 2018, it is also the parent company of mass media conglomerate WarnerMedia, making it the world's largest media and entertainment company in terms of revenue. As of 2020, AT&T was ranked 9 on the Fortune 500 rankings of the largest United States corporations, with revenues of $181 billion.AT&T began its history as Southwestern Bell Telephone Company, a subsidiary of the Bell Telephone Company, founded by Alexander Graham Bell in 1877. The Bell Telephone Company became the American Telephone and Telegraph Company in 1885 and was later rebranded as AT&T Corporation. The 1982 United States v. AT&T antitrust lawsuit resulted in the divestiture of AT&T Corporation's (""Ma Bell"") subsidiaries or Regional Bell Operating Companies (RBOCs), commonly referred to as  ""Baby Bells"", resulting in several independent companies, including Southwestern Bell Corporation; the latter changed its name to SBC Communications Inc. in 1995. In 2005, SBC purchased its former parent AT&T Corporation and took on its branding, with the merged entity naming itself AT&T Inc. and using its history, iconic logo and stock-trading symbol. AT&T Inc. acquired BellSouth in 2006, the last independent Baby Bell company, making its formerly joint venture Cingular Wireless (which had acquired AT&T Wireless in 2004) wholly owned and rebranding it as AT&T Mobility.
The current AT&T reconstitutes much of the former Bell System, and includes ten of the original 22 Bell Operating Companies along with the original long-distance division.

"
7,Wal-Mart Stores,Retailing,United States,193.15,13.4,163.43,405.61,8,0.0819922902771829,0.0330366608318335,"Walmart Inc. ( ; formerly Wal-Mart Stores, Inc.) is an American multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores from the United States, headquartered in Bentonville, Arkansas. The company was founded by Sam Walton in 1962 and incorporated on October 31, 1969. It also owns and operates Sam's Club retail warehouses. As of October 31, 2020, Walmart has 11,510 stores and clubs in 27 countries, operating under 56 different names. The company operates under the name Walmart in the United States and Canada, as Walmart de México y Centroamérica in Mexico and Central America, as Asda in the United Kingdom, as the Seiyu Group in Japan, and as Flipkart Wholesale in India. It has wholly owned operations in Argentina, Chile, Canada, and South Africa. Since August 2018, Walmart holds only a minority stake in Walmart Brasil, which was renamed Grupo Big in August 2019, with 20 percent of the company's shares, and private equity firm Advent International holding 80 percent ownership of the company.
Walmart is the world's largest company by revenue, with US$514.405 billion, according to the Fortune Global 500 list in 2019. It is also the largest private employer in the world with 2.2 million employees. It is a publicly traded family-owned business, as the company is controlled by the Walton family. Sam Walton's heirs own over 50 percent of Walmart through both their holding company Walton Enterprises and their individual holdings. Walmart was the largest United States grocery retailer in 2019, and 65 percent of Walmart's US$510.329 billion sales came from U.S. operations.Walmart was listed on the New York Stock Exchange in 1972. By 1988, it was the most profitable retailer in the U.S., and it had become the largest in terms of revenue by October 1989. The company was originally geographically limited to the South and lower Midwest, but it had stores from coast to coast by the early 1990s. Sam's Club opened in New Jersey in November 1989, and the first California outlet opened in Lancaster, in July 1990. A Walmart in York, Pennsylvania, opened in October 1990, the first main store in the Northeast.Walmart's investments outside the U.S. have seen mixed results. Its operations and subsidiaries in Canada, the United Kingdom, Central America, South America, and China are highly successful, but its ventures failed in Germany and South Korea."
8,Banco Santander,Banking,Spain,49.75,13.25,1318.86,96.23,9,0.0100465553584156,0.13769094876857502,"Banco Santander, S.A., doing business as Santander Group (UK: , US: , Spanish: [santanˈdeɾ]), is a Spanish multinational financial services company based in Madrid and Santander in Spain. Additionally, Santander maintains a presence in all global financial centres as the 16th-largest banking institution in the world. Although known for its European banking operations, it has extended operations across North and South America, and more recently in continental Asia.  
Many subsidiaries, such as Abbey National, have been rebranded under the Santander name. The company is a component of the Euro Stoxx 50 stock market index. In May 2016, Santander was ranked as 37th in the Forbes Global 2000 list of the world's biggest public companies. Santander is Spain's largest bank.As of 2017, Santander is the 4th largest bank in Europe with approximately US$1.4 trillion in total assets-under-management (AUM). Traded on the Euro Stoxx 50 stock market index, the bank has a total market capitalization of $69.9 billion.

"
9,Chevron,Oil & Gas Operations,United States,121.7,23.93,161.17,255.11,9,0.148476763665695,0.0938026733565913,"Chevron Corporation is an American multinational energy corporation. One of the successor companies of Standard Oil, it is headquartered in San Ramon, California, and active in more than 180 countries. Chevron is engaged in every aspect of the oil, natural gas, including hydrocarbon exploration and production; refining, marketing and transport; chemicals manufacturing and sales; and power generation. Chevron is one of the world's largest companies; as of March 2020, it ranked fifteenth in the Fortune 500 with a  yearly revenue of $146.5 billion and market valuation of $136 billion. In the 2020 Forbes Global 2000, Chevron was ranked as the 61st -largest public company in the world.  It was also one of the Seven Sisters that dominated the global petroleum industry from the mid-1940s to the 1970s. Chevron is incorporated in California.Chevron's downstream operations manufacture and sell products such as fuels, lubricants, additives, and petrochemicals. The company's most significant areas of operations are the west coast of North America, the U.S. Gulf Coast, Southeast Asia, South Korea and Australia. In 2018, the company produced an average of 791,000 barrels of net oil-equivalent per day in United States."
