,Company,Industry,Country,Market Value,Sales,Profits,Assets,Rank,Profits as % of Assets,Profits as % of Sales,description
0,JPMorgan Chase,Banking,United States,166.19,115.63,11.65,2031.99,1,0.005733295931574471,0.100752399896221,"JPMorgan Chase & Co. is an American multinational investment bank and financial services holding company headquartered in New York City. JPMorgan Chase is ranked by S&P Global as the largest bank in the United States and the  5th largest bank in the world by total assets, with total assets of US$3.213 trillion. It is also the world's most valuable bank by market capitalization. JPMorgan Chase is incorporated in Delaware.As a ""Bulge Bracket"" bank, it is a major provider of various investment banking and financial services. It is one of America's Big Four banks, along with Bank of America, Citigroup, and Wells Fargo. JPMorgan Chase is considered to be a universal bank and a custodian bank. The J.P. Morgan brand, is used by the investment banking, asset management, private banking, private wealth management, and treasury services divisions. Fiduciary activity within private banking and private wealth management is done under the aegis of JPMorgan Chase Bank, N.A.—the actual trustee. The Chase brand is used for credit card services in the United States and Canada, the bank's retail banking activities in the United States, and commercial banking. Both the retail and commercial bank and the bank's corporate headquarters are currently located at 383 Madison Avenue in Midtown Manhattan, New York City, while the prior headquarters building directly across the street, 270 Park Avenue, is demolished and replaced with a new building. The current company was originally known as Chemical Bank, which acquired Chase Manhattan and assumed that company's name. The present company was formed in 2000, when Chase Manhattan Corporation merged with J.P. Morgan & Co. In October 2020 JPMorgan Chase declared that it begun to work on achieving carbon neutrality by 2050.As of 2020, the asset management arm of the bank has US$3.37 trillion in assets under management, while its investment and corporate bank arm holds US$31 trillion in assets under custody. At US$45.0 billion in assets under management, the hedge fund unit of JPMorgan Chase is the third largest hedge fund in the world."
1,General Electric,Conglomerates,United States,169.65,156.78,11.03,781.82,2,0.0141081067253332,0.0703533613981375,"The General Electric Company, or GEC, was a major UK-based industrial conglomerate involved in consumer and defence electronics, communications, and engineering. The company was founded in 1886, was Britain's largest private employer with over 250,000 employees in the 1980s, and at its peak in the 1990s, made profits of over £1 billion a year.In June 1998, GEC sold its share of the joint venture GEC-Alsthom on the Paris stock exchange. In December 1999, GEC's defence arm, Marconi Electronic Systems, was sold to British Aerospace, forming BAE Systems.
The rest of GEC, mainly telecommunications equipment manufacturing, continued as Marconi Communications. After buying several US telecoms manufacturers at the top of the market, losses following the bursting of the dot-com bubble in 2001 led to the restructuring in 2003 of Marconi plc into Marconi Corporation plc. In 2005, Ericsson acquired the bulk of that company. What was left of the business was renamed Telent."
2,Bank of America,Banking,United States,167.63,150.45,6.28,2223.3,3,0.0028246300544236,0.0417414423396477,"The Bank of America Corporation (simply referred to as Bank of America, often abbreviated as BofA or BoA) is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina, with central hubs in New York City, Dallas, Toronto, London and Hong Kong. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10.73% of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.
One branch of its history stretches back to Bank of Italy, founded by Amadeo Pietro Giannini in 1904, which provided Italian immigrants who faced service discrimination various banking options. Originally headquartered in San Francisco, California, Giannini acquired Banca d'America e d'Italia (Bank of America and Italy) in 1922. The passage of landmark federal banking legislation facilitated a rapid growth in the 1950s, quickly establishing a prominent market share. After suffering a significant loss after the 1998 Russian bond default, BankAmerica, as it was then known, was acquired by the Charlotte-based NationsBank for US$62 billion. Following what was then the largest bank acquisition in history, the Bank of America Corporation was founded. Through a series of mergers and acquisitions, it built upon its commercial banking business by establishing Merrill Lynch for wealth management and Bank of America Merrill Lynch for investment banking in 2008 and 2009, respectively (since renamed BofA Securities).Both Bank of America and Merrill Lynch Wealth Management retain large market shares in their respective offerings. The investment bank is considered within the ""Bulge Bracket"" as the third largest investment bank in the world, as of 2018. Its wealth management side manages US$1.081 trillion in assets under management (AUM) as the second largest wealth manager in the world, after UBS. In commercial banking, Bank of America operates—but does not necessarily maintain retail branches—in all 50 states of the United States, the District of Columbia and more than 40 other countries. Its commercial banking footprint encapsulates 46 million consumer and small business relationships at 4,600 banking centers and 15,900 automated teller machines (ATMs).
The bank's large market share, business activities, and economic impact has led to numerous lawsuits and investigations regarding both mortgages and financial disclosures dating back to the 2008 financial crisis. Its corporate practices of servicing the middle class and wider banking community has yielded a substantial market share since the early 20th century. As of August 2018, Bank of America has a $313.5 billion market capitalization, making it the 13th largest company in the world. As the sixth largest American public company, it garnered $102.98 billion in sales as of June 2018. Bank of America was ranked #24 on the 2018 Fortune 500 rankings of the largest US corporations by total revenue. Likewise, Bank of America was also ranked #8 on the 2020 Global 2000 rankings done by Forbes. Bank of America was named the ""World's Best Bank"" by the Euromoney Institutional Investor in their 2018 Awards for Excellence."
3,ExxonMobil,Oil & Gas Operations,United States,308.77,275.56,19.28,233.32,4,0.0826332933310475,0.0699666134417187,"Exxon Mobil Corporation, stylized as ExxonMobil, is an American multinational oil and gas corporation headquartered in Irving, Texas. It is the largest direct descendant of John D. Rockefeller's Standard Oil, and was formed on November 30, 1999 by the merger of Exxon (formerly the Standard Oil Company of New Jersey) and Mobil (formerly the Standard Oil Company of New York). ExxonMobil's primary brands are Exxon, Mobil, Esso, and ExxonMobil Chemical. ExxonMobil is incorporated in New Jersey.One of the world's largest companies by revenue, ExxonMobil from 1996 to 2017 varied from the first to sixth largest publicly traded company by market capitalization. The company was ranked third globally in the Forbes Global 2000 list in 2016. ExxonMobil was the tenth most profitable company in the Fortune 500 in 2017. As of 2018, the company ranked second in the Fortune 500 rankings of the largest United States corporations by total revenue. Approximately 55.56% of the company's shares are held by institutions. As of March 2019, ExxonMobil's largest shareholders include The Vanguard Group (8.15%), BlackRock (6.61%), and State Street Corporation (4.83%).
ExxonMobil is one of the largest of the world's Big Oil companies. As of 2007, it had daily production of 3.921 million BOE (barrels of oil equivalent); but significantly smaller than a number of national companies. In 2008, this was approximately 3% of world production, which is less than several of the largest state-owned petroleum companies. When ranked by oil and gas reserves, it is 14th in the world—with less than 1% of the total. ExxonMobil's reserves were 20 billion BOE at the end of 2016 and the 2007 rates of production were expected to last more than 14 years. With 37 oil refineries in 21 countries constituting a combined daily refining capacity of 6.3 million barrels (1,000,000 m3), ExxonMobil is the seventh largest refiner in the world, a title that was also associated with Standard Oil since its incorporation in 1870.ExxonMobil had been criticized for its slow response to cleanup efforts after the 1989 Exxon Valdez oil spill in Alaska, considered to be one of the world's worst oil spills in terms of damage to the environment. ExxonMobil has a history of lobbying for climate change denial and against the scientific consensus that global warming is caused by the burning of fossil fuels. However, the company says that it has taken steps to minimise the environmental impact of its operations. The company has also been the target of accusations of improperly dealing with human rights issues, influence on American foreign policy, and its impact on the future of nations.

"
4,ICBC,Banking,China,242.23,71.86,16.27,1428.46,5,0.0113898884112961,0.226412468689118,"Industrial and Commercial Bank of China Limited (Chinese: 中国工商银行; pinyin: Zhōngguó gōngshāng yínháng; abb. ICBC) is a multinational Chinese banking company.
Founded as a limited company on 1 January 1984, ICBC is a state-owned commercial bank. With capital provided by the Ministry of Finance of China, the bank's Tier 1 capital in 2013 was the largest of one thousand global banks, being the first bank headquartered in China to achieve this distinction in modern history. Subsequently, ranked the largest bank in the world 2017 and 2018, by total assets, (31 December 2018, US$4027.44 billion ), ICBC was positioned at 1st in The Banker's Top 1000 World Banks ranking, every year from 2012 to 2019, and first (2019) on the Forbes Global 2000 list of the world's biggest public companies."
5,Banco Santander,Banking,Spain,107.12,109.57,12.34,1438.68,6,0.00857730697583896,0.11262206808433,"Banco Santander, S.A., doing business as Santander Group (UK: , US: , Spanish: [santanˈdeɾ]), is a Spanish multinational financial services company based in Madrid and Santander in Spain. Additionally, Santander maintains a presence in all global financial centres as the 16th-largest banking institution in the world. Although known for its European banking operations, it has extended operations across North and South America, and more recently in continental Asia.  
Many subsidiaries, such as Abbey National, have been rebranded under the Santander name. The company is a component of the Euro Stoxx 50 stock market index. In May 2016, Santander was ranked as 37th in the Forbes Global 2000 list of the world's biggest public companies. Santander is Spain's largest bank.As of 2017, Santander is the 4th largest bank in Europe with approximately US$1.4 trillion in total assets-under-management (AUM). Traded on the Euro Stoxx 50 stock market index, the bank has a total market capitalization of $69.9 billion.

"
6,Wells Fargo,Banking,United States,141.69,98.64,12.28,1243.65,7,0.00987416073654163,0.124493106244931,"Wells Fargo & Company is an American multinational financial services company with corporate headquarters in San Francisco, California, operational headquarters in Manhattan, and managerial offices throughout the United States and overseas.The firm's primary subsidiary is national bank Wells Fargo Bank, N.A., which is incorporated in Delaware and designates its main office as Sioux Falls, South Dakota. It is the fourth largest bank in the US by total assets. Wells Fargo is ranked number 26 on the 2018 Fortune 500 rankings of the largest US corporations by total revenue.In July 2015, Wells Fargo became the world's largest bank by market capitalization, edging past ICBC, before slipping behind JPMorgan Chase in September 2016, in the wake of a scandal involving the creation of over  2 million fake bank accounts  and illegal manipulation of other accounts by Wells Fargo employees. Wells Fargo fell behind Bank of America to third by bank deposits in 2017 and behind Citigroup to fourth by total assets in 2018.Wells Fargo in its present form is a result of a merger between San Francisco–based Wells Fargo & Company and Minneapolis-based Norwest Corporation in 1998 and the subsequent 2008 acquisition of Charlotte-based Wachovia. Following the mergers, the company transferred its headquarters to Wells Fargo's headquarters in San Francisco and merged its operating subsidiary with Wells Fargo's operating subsidiary in Sioux Falls. Along with JPMorgan Chase, Bank of America, and Citigroup, Wells Fargo is one of the ""Big Four Banks"" of the United States. As of June 2018, it had 8,050 branches and 13,000 ATMs. In 2018 the company had operations in 35 countries with over 70 million customers globally.In February 2014, Wells Fargo was named the world's most valuable bank brand for the second consecutive year in The Banker and Brand Finance study of the top 500 banking brands. In 2016, Wells Fargo ranked 7th on the Forbes Global 2000 list of largest public companies in the world and ranked 27th on the Fortune 500 list of the largest companies in the US. In 2015, the company was ranked the 22nd most admired company in the world, and the 7th most respected company in the world. As of December 2018, the company had a Standard & Poors credit rating of A−. However, for a brief period in 2007, the company was the only AAA-rated bank, reflecting the highest credit rating from two firms.On February 2, 2018, the US Federal Reserve Bank barred Wells Fargo from growing its nearly US$2 trillion-asset base any further, based upon years of misconduct, until Wells Fargo fixes its internal problems to the satisfaction of the Federal Reserve. In April 2018, The Wall Street Journal reported that the US Department of Labor had launched a probe into whether Wells Fargo was pushing its customers into more expensive retirement plans as well as into retirement funds managed by Wells Fargo itself. Subsequently in May 2018, The Wall Street Journal reported that Wells Fargo's business banking group had improperly altered documents about business clients in 2017 and early 2018. In June 2018, Wells Fargo began retreating from retail banking in the Midwestern United States by announcing the sale of all its physical bank branch locations in Indiana, Michigan, and Ohio to Flagstar Bank."
7,HSBC Holdings,Banking,United Kingdom,178.27,103.74,5.83,2355.83,8,0.00247471167274379,0.0561981877771352,"HSBC Holdings plc is a British multinational investment bank and financial services holding company. It is the largest bank in Europe, with total assets of US$2.715 trillion (as of August 2020). HSBC traces its origin to a hong in British Hong Kong and its present form was established in London by the Hongkong and Shanghai Banking Corporation to act as a new group holding company in 1991; its name derives from that company's initials. The Hongkong and Shanghai Banking Corporation opened branches in Shanghai in 1865 and was first formally incorporated in 1866.HSBC has around 3,900 offices in 65 countries and territories across Africa, Asia, Oceania, Europe, North America, and South America, and around 38 million customers. As of 2014, it was the world's sixth-largest public company, according to a composite measure by Forbes magazine.HSBC is organised within four business groups: Commercial Banking, Global Banking and Markets (investment banking), Retail Banking and Wealth Management, and Global Private Banking. In 2020, the bank announced that it would consolidate its Retail Banking & Wealth Management arm with Global Private Banking, to form Wealth & Personal Banking.HSBC has a dual primary listing on the Hong Kong Stock Exchange and London Stock Exchange and is a constituent of the Hang Seng Index and the FTSE 100 Index. As of 30 October 2020, it had a market capitalisation of £66.1 billion, the third-largest company listed on the London Stock Exchange. It has secondary listings on the New York Stock Exchange, Euronext Paris, and the Bermuda Stock Exchange.
HSBC's history has been plagued by a succession of scandals and the bank has been repetitively fined for money laundering (sometimes in relation with organized crime or terrorist organizations like Al Qaeda) or setting up large scale tax avoidance schemes."
8,Royal Dutch Shell,Oil & Gas Operations,Netherlands,168.63,278.19,12.52,287.64,8,0.0435266305103602,0.0450052122649987,"Royal Dutch Shell, commonly known as Shell, is a British-Dutch multinational oil and gas company headquartered in The Hague, Netherlands and incorporated in the United Kingdom as a public limited company (PLC). It is one of the oil and gas ""supermajors"" and the fifth-largest company in the world measured by 2020 revenues (and the largest based in Europe). In the 2020 Forbes Global 2000, Royal Dutch Shell was ranked as the 21st-largest public company in the world. Shell was first in the 2013 Fortune Global 500 list of the world's largest companies; in that year its revenues were equivalent to 84% of the Dutch national $556 billion GDP.Shell is vertically integrated and is active in every area of the oil and gas industry, including exploration and production, refining, transport, distribution and marketing, petrochemicals, power generation, and trading. It also has renewable energy activities, including biofuels, wind, energy-kite systems, and hydrogen. Shell has operations in over 70 countries, produces around 3.7 million barrels of oil equivalent per day and has 44,000 service stations worldwide. As of 31 December 2014, Shell had total proved reserves of 13.7 billion barrels (2.18×109 m3) of oil equivalent. Shell Oil Company, its principal subsidiary in the United States, is one of its largest businesses. Shell holds 50% of Raízen, a joint venture with Cosan, which is the third-largest Brazil-based energy company by revenues and a major producer of ethanol.Shell was formed in 1907 through the amalgamation of the Royal Dutch Petroleum Company (Dutch: N.V. Koninklijke Nederlandse Petroleum Maatschappij) of the Netherlands (formerly the Royal Dutch Company for the Exploitation of Petroleum Wells in the Dutch East Indies (Dutch: N.V. Koninklijke Maatschappij tot Exploitatie van Petroleumbronnen in Nederlandsch-Indië)) and the ""Shell"" Transport and Trading Company of the United Kingdom. Until its unification in 2005 the firm operated as a dual-listed company, whereby the British and Dutch companies maintained their legal existence but operated as a single-unit partnership for business purposes. Shell first entered the chemicals industry in 1929. Shell was one of the ""Seven Sisters"" which dominated the global petroleum industry from the mid-1940s to the mid-1970s. In 1970 Shell acquired the mining company Billiton, which it subsequently sold in 1994 and now forms part of BHP. In recent decades gas exploration and production has become an increasingly important part of Shell's business. Shell acquired BG Group in 2016, making it the world's largest producer of liquefied natural gas (LNG).Shell has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It had a market capitalisation of £216 billion at the close of trading on 27 June 2019, by far the largest of any company listed on the London Stock Exchange. It has secondary listings on Euronext Amsterdam and the New York Stock Exchange. There are two types of shares: A (code RDSA) and B (code RDSB), see also below.
As of February 2020, Shell's largest shareholder (A and B shares combined as a percent of the company) was Nederlands Centraal Instituut Voor Giraal Effectenverkeer Bv with 21.19%, ahead of Guaranty Nominees Limited in second with 18.03%, BlackRock Inc with 7.14%, and The Capital Group with 4.99%. According to the CDP Carbon Majors Report 2017, when taking into account its scope 3 greenhouse gas emissions, meaning emissions caused by the public and other companies using its products to power the modern economy, Shell was the ninth-largest corporate producer of greenhouse gas emissions in the period 1988–2015. In 2018, Shell announced it hoped to achieve net zero greenhouse gas emissions by 2050 or sooner.

"
9,BP,Oil & Gas Operations,United Kingdom,167.13,239.27,16.58,235.45,10,0.07041834784455299,0.0692941028963096,"BP plc (formerly The British Petroleum Company plc and BP Amoco plc) is a British multinational oil and gas company headquartered in London, England. It is one of the world's seven oil and gas ""supermajors"". It is a vertically integrated company operating in all areas of the oil and gas industry, including exploration and production, refining, distribution and marketing, power generation and trading. It also has renewable energy interests in biofuels, wind power, smart grid and solar technology.
As of 31 December 2018, BP had operations in nearly 80 countries worldwide, produced around 3.7 million barrels per day (590,000 m3/d) of oil equivalent, and had total proven reserves of 19.945 billion barrels (3.1710×109 m3) of oil equivalent. The company has around 18,700 service stations worldwide. Its largest division is BP America in the United States. In Russia, BP owns a 19.75% stake in Rosneft, the world's largest publicly traded oil and gas company by hydrocarbon reserves and production. BP has a primary listing on the London Stock Exchange and is a constituent of the FTSE 100 Index. It has secondary listings on the Frankfurt Stock Exchange and the New York Stock Exchange. In the 2020 Forbes Global 2000, BP was ranked as the 357th-largest public company in the world.BP's origins date back to the founding of the Anglo-Persian Oil Company in 1908, established as a subsidiary of Burmah Oil Company to exploit oil discoveries in Iran. In 1935, it became the Anglo-Iranian Oil Company and in 1954, adopted the name British Petroleum. In 1959, the company expanded beyond the Middle East to Alaska and it was one of the first companies to strike oil in the North Sea. British Petroleum acquired majority control of Standard Oil of Ohio in 1978. Formerly majority state-owned, the British government privatised the company in stages between 1979 and 1987. British Petroleum merged with Amoco in 1998, becoming BP Amoco plc, and acquired ARCO and Burmah Castrol in 2000, becoming BP plc in 2001. From 2003 to 2013, BP was a partner in the TNK-BP joint venture in Russia.
BP has been directly involved in several major environmental and safety incidents. Among them were the 2005 Texas City Refinery explosion, which caused the death of 15 workers and which resulted in a record-setting OSHA fine; Britain's largest oil spill, the wreck of Torrey Canyon in 1967; and the 2006 Prudhoe Bay oil spill, the largest oil spill on Alaska's North Slope, which resulted in a US$25 million civil penalty, the largest per-barrel penalty at that time for an oil spill.The 2010, Deepwater Horizon oil spill, the largest accidental release of oil into marine waters in history, which leaked about 4.9 million barrels (210 million US gal; 780,000 m3) of oil, causing severe environmental, human health, and economic consequences, and serious legal and public relations repercussions for BP. 1.8 million US gallons (43,000 bbl; 6,800 m3) of Corexit oil dispersant were used in the cleanup response, becoming the largest application of such chemicals in US history. The company pleaded guilty to 11 counts of felony manslaughter, two misdemeanors, one felony count of lying to the U.S. Congress, and agreed to pay more than $4.5 billion in fines and penalties, the largest criminal resolution in US history. On 2 July 2015, BP and five states announced an $18.7 billion settlement to be used for Clean Water Act penalties and various claims. In total, the oil spill cost to the company more than $65 billion of cleanup costs, charges and penalties.From 1988 to 2015, BP was responsible for 1.53% of global industrial greenhouse gas emissions. BP has set a goal to cut its greenhouse gas emissions to net-zero by 2050. BP plans to increase its investments in renewables 10 times and reduce oil production by 40% from current levels by 2030."
